"#"	"Ticker"	"Company"	"Transfer Agent"	"Online Purchase?"	"Investor Relations"	"IR Phone #"
9	"MCK"	"McKesson"	"EQ Shareowner Services"	"No"	"investors@mckesson.com"	""
71	"MRK"	"Merck"	"EQ Shareowner Services"	"Yes"	"investor_relations@merck.com"	""
27	"META"	"Meta Platforms"	"Computershare"	"No"	"ir@facebook.com"	""
50	"MET"	"MetLife"	"Computershare"	"No"	""	""
364	"MGM"	"MGM Resorts International"	"Computershare"	"Yes"	""	""
127	"MU"	"Micron Technology"	"EQ Shareowner Services"	"No"	"investorrelations@micron.com"	""
14	"MSFT"	"Microsoft"	"Computershare"	"Yes"	"msft@microsoft.com"	""
195	"MRNA"	"Moderna"	"Computershare"	"No"	"ir@modernatx.com"	""
330	"MHK"	"Mohawk Industries"	"American Stock Transfer & Trust Co."	"No"	""	""
125	"MOH"	"Molina Healthcare"	"American Stock Transfer & Trust Co."	"No"	""	""
352	"TAP"	"Molson Coors Beverage"	"Computershare"	"Yes"	""	""
121	"MDLZ"	"Mondelez International"	"EQ Shareowner Services"	"Yes"	"ir@mdlz.com"	""
61	"MS"	"Morgan Stanley"	"Computershare"	"No"	"investorrelations@morganstanley.com"	""
305	"MOS"	"Mosaic"	"American Stock Transfer & Trust Co."	"No"	"investor@mosaicco.com"	""
423	"MSI"	"Motorola Solutions"	"EQ Shareowner Services"	"Yes"	"investors@motorolasolutions.com"	""
240	"MUSA"	"Murphy USA"	"Computershare"	"Yes"	""	""
324	"N/a"	"Mutual of Omaha Insurance"	"Non-public shares"	"N/a"	""	""
80	"N/a"	"Nationwide"	"Non-public shares"	"N/a"	""	""
467	"NCR"	"NCR"	"EQ Shareowner Services"	"Yes"	""	""
115	"NFLX"	"Netflix"	"Computershare"	"Yes"	"ir@netflix.com"	""
72	"N/a"	"New York Life Insurance"	"Non-public shares"	"N/a"	""	""
348	"NWL"	"Newell Brands"	"Computershare"	"Yes"	""	""
308	"NEM"	"Newmont"	"Computershare"	"No"	"investor.relations@newmont.com"	""
374	"NWSA"	"News Corp."	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
215	"NEE"	"NextEra Energy"	"Computershare"	"No"	"investors@nexteraenergypartners.com"	""
83	"NKE"	"Nike"	"Computershare"	"Yes"	"investor.relations@nike.com"	""
245	"JWN"	"Nordstrom"	"Computershare"	"Yes"	""	""
332	"NSC"	"Norfolk Southern"	"American Stock Transfer & Trust Co."	"Yes"	"luke.nichols@nscorp.com"	""
493	"NTRS"	"Northern Trust"	"EQ Shareowner Services"	"No"	""	""
101	"NOC"	"Northtrop Grumman"	"Computershare"	"Yes"	"investors@ngc.com"	""
97	"N/a"	"Northwestern Mutual"	"Non-public shares"	"N/a"	""	""
133	"NRG"	"NRG Energy"	"Computershare"	"No"	""	""
98	"NUE"	"Nucor"	"American Stock Transfer & Trust Co."	"No"	""	""
134	"NVDA"	"Nvidia"	"Computershare"	"No"	""	""
389	"NVR"	"NVR"	"Computershare"	"No"	""	""
279	"ORLY"	"O'Reilly Automotive"	"Computershare"	"No"	""	""
135	"OXY"	"Occidental Petroleum"	"EQ Shareowner Services"	"No"	"investors@oxy.com"	""
379	"ODP"	"ODP"	"Computershare"	"No"	""	""
376	"ORI"	"Old Republic International"	"EQ Shareowner Services"	"No"	""	""
393	"OLN"	"Olin"	"EQ Shareowner Services"	"Yes"	""	""
255	"OMC"	"Omnicom Group"	"EQ Shareowner Services"	"No"	""	""
483	"ON"	"ON Semiconductor"	"Computershare"	"No"	""	""
224	"OKE"	"Oneok"	"EQ Shareowner Services"	"Yes"	""	""
425	"OPEN"	"Opendoor Technologies"	"American Stock Transfer & Trust Co."	"No"	""	""
91	"ORCL"	"Oracle"	"American Stock Transfer & Trust Co."	"No"	"investor_us@oracle.com"	""
428	"OSK"	"Oshkosh"	"Computershare"	"Yes"	""	""
254	"OTIS"	"Otis Worldwide"	"Computershare"	"Yes"	"investorrelations@otis.com"	""
400	"OVV"	"Ovintiv"	"American Stock Transfer & Trust Co."	"No"	""	""
361	"OMI"	"Owens & Minor"	"Computershare"	"Yes"	""	""
408	"OC"	"Owens Corning"	"EQ Shareowner Services"	"No"	""	""
151	"PCAR"	"Paccar"	"EQ Shareowner Services"	"No"	""	""
266	"N/a"	"Pacific Life"	"Non-public shares"	"N/a"	""	""
441	"PKG"	"Packaging Corp. of America"	"Computershare"	"Yes"	""	""
116	"PARA"	"Paramount Global"	"EQ Shareowner Services"	"Yes"	""	""
253	"PH"	"Parker-Hannifin"	"EQ Shareowner Services"	"No"	"aidan.gormley@parker.com"	""
143	"PYPL"	"PayPal Holdings"	"Computershare"	"Yes"	"investorrelations@paypal.com"	""
130	"PBF"	"PBF Energy"	"American Stock Transfer & Trust Co."	"No"	""	""
142	"PAG"	"Penske Automotive Group"	"Computershare"	"Yes"	""	""
45	"PEP"	"PepsiCo"	"Computershare"	"Yes"	"investor@pepsico.com"	""
112	"PFGC"	"Performance Food Group"	"Computershare"	"No"	""	""
313	"N/a"	"Peter Kiewit Sons'"	"Non-public shares"	"N/a"	""	""
43	"PFE"	"Pfizer"	"Computershare"	"Yes"	"r@pfizer.com"	""
168	"PCG"	"PG&E"	"EQ Shareowner Services"	"No"	"invrel@pge-corp.com"	""
110	"PM"	"Philip Morris International"	"Computershare"	"Yes"	""	""
29	"PSX"	"Phillips 66"	"Computershare"	"Yes"	""	""
248	"PXD"	"Pioneer Natural Resources"	"Continental Stock Transfer & Trust Co."	"No"	"ir@pxd.com"	""
88	"PAGP"	"Plains GP Holdings"	"American Stock Transfer & Trust Co."	"No"	""	""
178	"PNC"	"PNC Financial Services Group"	"Computershare"	"No"	"investor.relations@pnc.com"	""
419	"PII"	"Polaris"	"EQ Shareowner Services"	"No"	""	""
218	"PPG"	"PPG Industries"	"Computershare"	"Yes"	"jbruno@ppg.com"	""
469	"PPL"	"PPL"	"EQ Shareowner Services"	"Yes"	"invrel@pplweb.com"	""
256	"PFG"	"Principal Financial"	"Computershare"	"Yes"	"investor-relations@principal.com"	""
47	"PG"	"Procter & Gamble"	"EQ Shareowner Services"	"Yes"	"pginvestor.im@pg.com"	""
79	"PGR"	"Progressive"	"American Stock Transfer & Trust Co."	"No"	"investor_relations@progressive.com"	""
51	"PRU"	"Prudential Financial (U.S.)"	"Computershare"	"Yes"	"bill.launder@prudential.com"	""
362	"PEG"	"Public Service Enterprise Group"	"EQ Shareowner Services"	"Yes"	""	""
76	"N/a"	"Publix Super Markets"	"Non-public shares"	"N/a"	""	""
267	"PHM"	"PulteGroup"	"Computershare"	"Yes"	""	""
385	"PVH"	"PVH"	"EQ Shareowner Services"	"No"	""	""
107	"QCOM"	"Qualcomm"	"Computershare"	"Yes"	"ir@qualcomm.com"	""
285	"PWR"	"Quanta Services"	"American Stock Transfer & Trust Co."	"No"	"investors@quantaservices.com"	""
342	"DGX"	"Quest Diagnostics"	"Computershare"	"No"	""	""
265	"QRTEA"	"Qurate Retail"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
356	"RJF"	"Raymond James Financial"	"Computershare"	"No"	"investorrelations@raymondjames.com"	""
58	"RTX"	"Raytheon Technologies"	"Computershare"	"Yes"	"investors@rtx.com"	""
427	"RLGY"	"Realogy Holdings"	"Computershare"	"Yes"	""	""
231	"REGN"	"Regeneron Pharmaceuticals"	"American Stock Transfer & Trust Co."	"No"	"invest@regeneron.com"	""
489	"RF"	"Regions Financial"	"Computershare"	"Yes"	""	""
222	"RGA"	"Reinsurance Group of America"	"Computershare"	"Yes"	""	""
261	"RS"	"Reliance Steel & Aluminum"	"American Stock Transfer & Trust Co."	"No"	""	""
329	"RSG"	"Republic Services"	"EQ Shareowner Services"	"No"	""	""
148	"RAD"	"Rite Aid"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
494	"RHI"	"Robert Half International"	"Computershare"	"Yes"	""	""
282	"RKT"	"Rocket Companies"	"Computershare"	"Yes"	""	""
472	"ROK"	"Rockwell Automation"	"EQ Shareowner Services"	"Yes"	"bmpikus@ra.rockwell.com"	""
497	"ROP"	"Roper Technologies"	"Computershare"	"Yes"	"investor-relations@ropertech.com"	""
189	"ROST"	"Ross Stores"	"Computershare"	"No"	"investor.relations1@ros.com"	""
365	"R"	"Ryder System"	"EQ Shareowner Services"	"Yes"	""	""
417	"SPGI"	"S&P Global"	"Computershare"	"Yes"	"investor.relations@spglobal.com"	""
136	"CRM"	"Salesforce"	"Computershare"	"No"	"investor@salesforce.com"	""
482	"SANM"	"Sanmina"	"EQ Shareowner Services"	"No"	""	""
456	"SAIC"	"Science Applications International"	"Computershare"	"No"	""	""
382	"SEB"	"Seaboard"	"EQ Shareowner Services"	"No"	""	""
464	"N/a"	"Securian Financial Group"	"Non-public shares"	"N/a"	""	""
288	"SRE"	"Sempra"	"American Stock Transfer & Trust Co."	"Yes"	"investor@sempra.com"	""
175	"SHW"	"Sherwin-Williams"	"EQ Shareowner Services"	"No"	"investor.relations@sherwin.com"	""
300	"SAH"	"Sonic Automotive"	"American Stock Transfer & Trust Co."	"No"	""	""
153	"SO"	"Southern Company"	"EQ Shareowner Services"	"Yes"	"shareholderservices@southernco.com"	""
234	"LUV"	"Southwest Airlines"	"EQ Shareowner Services"	"Yes"	""	""
486	"SWN"	"Southwestern Energy"	"Computershare"	"Yes"	""	""
392	"SPTN"	"SpartanNash"	"Computershare"	"Yes"	""	""
212	"SWK"	"Stanley Black & Decker"	"Computershare"	"Yes"	""	""
120	"SBUX"	"Starbucks"	"Computershare"	"Yes"	""	""
42	"N/a"	"State Farm Insurance"	"Non-public shares"	"N/a"	""	""
316	"STT"	"State Street"	"American Stock Transfer & Trust Co."	"Yes"	"ir@statestreet.com"	""
196	"STLD"	"Steel Dynamics"	"Computershare"	"Yes"	""	""
87	"SNEX"	"StoneX"	"Computershare"	"No"	""	""
214	"SYK"	"Stryker"	"American Stock Transfer & Trust Co."	"No"	"jason.beach@stryker.com"	""
236	"SYF"	"Synchrony Financial"	"Computershare"	"Yes"	"investorrelations@syf.com"	""
70	"SYY"	"Sysco"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
443	"TROW"	"T. Rowe Price"	"EQ Shareowner Services"	"No"	""	""
216	"TRGP"	"Targa Resources"	"Computershare"	"No"	"investorrelations@targaresources.com"	""
32	"TGT"	"Target"	"EQ Shareowner Services"	"Yes"	"investorrelations@target.com"	""
453	"TMHC"	"Taylor Morrison Home"	"Computershare"	"No"	""	""
109	"SNX"	"TD Synnex"	"Computershare"	"Yes"	""	""
181	"THC"	"Tenet Healthcare"	"Computershare"	"No"	""	""
202	"TEN"	"Tenneco"	"EQ Shareowner Services"	"Yes"	""	""
65	"TSLA"	"Tesla"	"Computershare"	"Yes"	""	""
198	"TXN"	"Texas Instruments"	"Computershare"	"Yes"	"txn@ti.com"	""
302	"TXT"	"Textron"	"American Stock Transfer & Trust Co."	"No"	""	""
92	"TMO"	"Thermo Fisher Scientific"	"American Stock Transfer & Trust Co."	"No"	"investorrelations@thermofisher.com"	""
306	"THO"	"Thor Industries"	"Computershare"	"Yes"	""	""
351	"N/a"	"Thrivent Financial for Lutherans"	"Non-public shares"	"N/a"	""	""
90	"N/a"	"TIAA"	"Non-public shares"	"N/a"	""	""
75	"TJX"	"TJX"	"Computershare"	"No"	"jeff_botte@tjx.com"	""
397	"TOL"	"Toll Brothers"	"American Stock Transfer & Trust Co."	"No"	""	""
294	"TSCO"	"Tractor Supply"	"Computershare"	"Yes"	"investorrelations@tractorsupply.com"	""
461	"TA"	"TravelCenters of America"	"EQ Shareowner Services"	"No"	""	""
103	"TRV"	"Travelers Companies"	"EQ Shareowner Services"	"Yes"	""	""
155	"TFC"	"Truist Financial"	"Computershare"	"Yes"	"investors@truist.com"	""
81	"TSN"	"Tyson Foods"	"Computershare"	"Yes"	""	""
150	"USB"	"U.S. Bancorp"	"Computershare"	"Yes"	""	""
210	"UBER"	"Uber Technologies"	"Computershare"	"Yes"	"investor@uber.com"	""
401	"UFPI"	"UFP Industries"	"American Stock Transfer & Trust Co."	"No"	""	""
455	"UGI"	"UGI"	"Computershare"	"Yes"	""	""
402	"ULTA"	"Ulta Beauty"	"American Stock Transfer & Trust Co."	"No"	"investorrelations@ulta.com"	""
163	"UNP"	"Union Pacific"	"Computershare"	"Yes"	"investor.relations@up.com"	""
146	"UAL"	"United Airlines Holdings"	"Computershare"	"Yes"	""	""
132	"UNFI"	"United Natural Foods"	"Continental Stock Transfer & Trust Co."	"No"	""	""
363	"URI"	"United Rentals"	"American Stock Transfer & Trust Co."	"No"	"investors@unitedrentals.com"	""
172	"X"	"United States Steel"	"EQ Shareowner Services"	"No"	""	""
5	"UNH"	"UnitedHealth Group"	"EQ Shareowner Services"	"No"	""	""
369	"UNVR"	"Univar Solutions"	"EQ Shareowner Services"	"No"	""	""
297	"UHS"	"Universal Health Services"	"Computershare"	"Yes"	""	""
317	"UHM"	"Unum Group"	"Computershare"	"Yes"	""	""
34	"UPS"	"UPS"	"Computershare"	"Yes"	"investor@ups.com"	""
117	"USFD"	"US Foods Holding"	"American Stock Transfer & Trust Co."	"No"	""	""
96	"N/a"	"USAA"	"Non-public shares"	"N/a"	""	""
30	"VLO"	"Valero Energy"	"Computershare"	"No"	"investorrelations@valero.com"	""
477	"VRTV"	"Veritiv"	"Computershare"	"No"	""	""
23	"VZ"	"Verizon Communications"	"Computershare"	"Yes"	"george.connor@verizon.com"	""
448	"VRTX"	"Vertex Pharmaceuticals"	"Computershare"	"No"	"investorinfo@vrtx.com"	""
380	"VFC"	"VF"	"Computershare"	"Yes"	"ir@vfc.com"	""
204	"VTRS"	"Viatris"	"American Stock Transfer & Trust Co."	"No"	""	""
480	"VSCO"	"Victoria's Secret"	"American Stock Transfer & Trust Co."	"No"	""	""
147	"V"	"Visa"	"EQ Shareowner Services"	"No"	"ir@visa.com"	""
315	"VST"	"Vistra"	"American Stock Transfer & Trust Co."	"No"	""	""
371	"WRB"	"W.R. Berkley"	"EQ Shareowner Services"	"No"	""	""
284	"GWW"	"W.W. Grainger"	"Computershare"	"No"	""	""
18	"WBA"	"Wallgreens Boots Alliance"	"EQ Shareowner Services"	"Yes"	""	""
1	"WMT"	"Walmart"	"Computershare"	"Yes"	""	""
53	"DIS"	"Walt Disney"	"Computershare"	"Yes"	""	""
310	"WBD"	"Warner Bros. Discovery"	"Computershare"	"No"	""	""
203	"WM"	"Waste Management"	"Computershare"	"Yes"	"eegl@wm.com"	""
275	"W"	"Wayfair"	"Computershare"	"Yes"	""	""
416	"WEC"	"WEC Energy Group"	"Computershare"	"Yes"	"wec-stockholder-services@wecenergygroup.com"	""
41	"WFC"	"Wells Fargo"	"EQ Shareowner Services"	"Yes"	"investorrelations@wellsfargo.com"	""
200	"WCC"	"WESCO International"	"Computershare"	"No"	""	""
372	"N/a"	"Western & Southern Financial Group"	"Non-public shares"	"N/a"	""	""
217	"WDC"	"Western Digital"	"American Stock Transfer & Trust Co."	"No"	""	""
439	"WAB"	"Westinghouse Air Brake Technologies"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
320	"WLK"	"Westlake"	"American Stock Transfer & Trust Co."	"No"	""	""
192	"WRK"	"WestRock"	"Computershare"	"Yes"	""	""
354	"WY"	"Weyerhaeuser"	"Computershare"	"Yes"	"andy.taylor@weyerhaeuser.com"	""
162	"WHR"	"Whirlpool"	"Computershare"	"Yes"	""	""
347	"WMB"	"Williams"	"Computershare"	"Yes"	"investorrelations@williams.com"	""
420	"WSM"	"Williams-Sonoma"	"EQ Shareowner Services"	"No"	""	""
111	"INT"	"World Fuel Services"	"EQ Shareowner Services"	"No"	""	""
278	"XEL"	"Xcel Energy"	"EQ Shareowner Services"	"Yes"	"paul.a.johnson@xcelenergy.com"	""
471	"XRX"	"Xerox Holdings"	"Computershare"	"No"	""	""
291	"XPO"	"XPO Logistics"	"Computershare"	"No"	""	""
490	"YUM"	"Yum Brands"	"Computershare"	"Yes"	"yum.investor@yum.com"	""
359	"YUMC"	"Yum China Holdings"	"Computershare"	"Yes"	""	""
424	"ZG"	"Zillow Group"	"Computershare"	"Yes"	""	""
438	"ZBH"	"Zimmer Biomet Holdings"	"Computershare"	"Yes"	"keri.mattox@zimmerbiomet.com"	""
440	"ZTS"	"Zoetis"	"Computershare"	"Yes"	""	""
